N,P,K,temperature,humidity,ph,rainfall,label,state
80.34,40.33,49.64,26.21,89.39,5.82,215.22,rice,Tamil Nadu
98.21,59.68,45.08,29.83,79.75,6.42,139.93,rice,Tamil Nadu
87.53,42.68,43.88,30.34,83.31,6.53,126.44,rice,Punjab
84.84,50.18,40.84,26.56,79.51,6.44,228.29,rice,Andhra Pradesh
85.09,49.2,46.41,25.27,76.58,6.29,157.12,rice,Punjab
84.98,46.29,44.71,28.13,88.12,5.51,193.48,rice,West Bengal
83.36,54.87,45.91,27.21,81.56,6.1,243.35,rice,Odisha
95.05,41.45,49.03,27.43,83.91,6.88,191.27,rice,West Bengal
92.29,53.82,46.94,34.44,84.65,6.48,187.62,rice,Andhra Pradesh
99.65,52.47,43.36,25.76,81.08,6.39,187.61,rice,Odisha
98.49,54.82,42.4,26.04,82.61,6.55,244.23,rice,West Bengal
97.82,57.92,46.19,30.06,76.23,6.83,173.77,rice,Andhra Pradesh
91.18,47.75,46.78,28.31,79.86,6.34,195.4,rice,Tamil Nadu
80.33,57.21,42.58,27.02,86.3,6.35,175.92,rice,Andhra Pradesh
80.04,49.08,47.71,34.15,85.07,6.1,140.54,rice,Andhra Pradesh
90.87,41.96,48.13,27.38,88.53,6.17,169.91,rice,Odisha
99.73,59.46,46.39,33.53,85.89,5.68,181.64,rice,Tamil Nadu
82.74,58.61,49.73,32.49,71.47,6.8,229.39,rice,West Bengal
90.75,46.7,40.61,33.07,80.87,6.86,125.23,rice,Odisha
94.86,46.95,43.05,28.8,78.64,6.75,152.19,rice,Andhra Pradesh
83.69,40.25,49.55,28.92,79.8,6.43,148.77,rice,Punjab
81.88,58.02,44.37,28.67,76.64,6.18,177.88,rice,Punjab
94.14,54.34,40.19,29.55,72.05,6.02,120.44,rice,West Bengal
80.92,52.68,40.66,34.91,83.22,6.27,139.67,rice,Tamil Nadu
95.58,47.24,42.89,29.23,86.45,6.03,174.79,rice,Odisha
96.01,51.95,44.32,26.95,71.26,5.77,248.87,rice,Odisha
97.61,55.19,42.59,30.67,87.62,6.63,126.5,rice,West Bengal
80.62,46.1,40.89,26.94,76.62,6.06,200.8,rice,Punjab
81.01,45.17,47.8,29.6,78.1,6.93,207.96,rice,Tamil Nadu
87.58,53.74,40.72,32.72,72.25,6.58,148.12,rice,Odisha
96.02,43.11,40.65,31.03,89.18,5.85,146.41,rice,Odisha
82.86,50.63,44.21,32.82,87.64,5.73,242.5,rice,Odisha
89.05,47.03,49.16,32.85,77.85,6.05,163.83,rice,West Bengal
86.55,49.46,48.0,29.87,77.53,5.91,235.24,rice,West Bengal
96.29,56.69,45.02,30.03,83.8,5.94,163.36,rice,Tamil Nadu
80.57,52.25,41.97,31.33,88.3,6.91,163.88,rice,Odisha
88.51,54.64,43.11,33.94,70.27,5.57,238.3,rice,Tamil Nadu
83.39,43.99,44.34,25.98,88.54,6.11,132.88,rice,Punjab
95.15,58.77,43.11,28.58,70.55,6.72,142.7,rice,Tamil Nadu
91.77,58.04,48.89,28.91,88.96,5.59,213.06,rice,Punjab
99.77,49.75,49.3,34.75,87.7,6.23,190.65,rice,Tamil Nadu
96.24,57.14,49.16,31.37,75.03,5.5,211.62,rice,Tamil Nadu
83.62,47.21,40.86,30.58,82.04,6.52,202.76,rice,Andhra Pradesh
87.66,51.37,46.88,29.72,70.43,6.76,240.96,rice,Tamil Nadu
90.7,56.82,45.8,31.37,78.2,6.57,191.15,rice,West Bengal
91.31,59.58,43.57,29.04,84.3,6.6,169.32,rice,Andhra Pradesh
98.95,45.71,47.96,27.05,76.97,5.53,174.19,rice,Tamil Nadu
84.64,43.07,42.21,29.24,71.53,5.82,143.25,rice,Odisha
85.12,43.45,40.84,26.28,81.43,5.72,181.17,rice,West Bengal
82.3,49.04,46.83,27.28,70.75,6.35,152.59,rice,Punjab
85.21,49.65,45.22,34.86,86.95,5.8,140.59,rice,Andhra Pradesh
91.19,47.53,45.03,32.19,70.36,5.6,135.65,rice,Odisha
98.21,48.6,47.93,25.86,86.23,5.79,178.44,rice,Andhra Pradesh
94.42,48.81,44.09,34.36,71.85,5.54,233.6,rice,Punjab
97.52,46.21,46.99,26.79,84.52,5.83,205.85,rice,Tamil Nadu
84.94,54.44,49.58,29.33,84.3,5.9,157.77,rice,Odisha
91.39,40.45,49.05,30.15,79.25,6.27,154.66,rice,Punjab
95.66,47.68,44.23,25.32,84.79,6.62,184.03,rice,Odisha
80.3,58.66,44.91,25.3,81.03,6.46,224.49,rice,Odisha
86.15,51.35,44.21,34.45,81.1,6.9,208.0,rice,Punjab
89.08,57.67,43.45,26.72,84.09,6.82,166.67,rice,West Bengal
96.78,42.51,45.52,25.5,71.93,6.99,225.08,rice,West Bengal
80.25,43.68,49.26,33.43,76.74,5.6,172.64,rice,Odisha
85.69,52.64,46.11,32.99,75.13,6.05,227.71,rice,Odisha
89.84,48.07,49.81,29.96,88.2,6.9,157.51,rice,West Bengal
99.48,56.21,45.91,27.03,79.26,6.79,240.61,rice,Odisha
97.08,58.91,46.25,29.88,79.53,5.57,149.21,rice,Punjab
87.66,43.31,45.61,29.24,83.53,6.51,249.45,rice,Andhra Pradesh
83.43,47.54,44.93,29.57,86.27,5.78,182.3,rice,Odisha
91.74,45.43,40.9,26.76,76.8,6.96,195.15,rice,West Bengal
95.32,51.22,44.67,28.32,77.14,5.68,235.02,rice,Odisha
96.77,57.43,43.11,26.19,87.17,6.36,206.97,rice,Andhra Pradesh
94.82,59.77,49.59,26.83,80.82,5.8,207.83,rice,Andhra Pradesh
94.84,53.19,43.79,32.79,87.19,6.21,159.06,rice,Andhra Pradesh
94.51,42.27,40.65,25.88,79.41,6.01,204.8,rice,Odisha
89.53,55.49,41.95,27.78,84.53,6.01,186.73,rice,Punjab
89.88,53.93,40.6,25.85,85.93,5.84,124.0,rice,Odisha
89.25,45.12,42.32,25.84,78.95,6.46,165.74,rice,Punjab
92.51,50.58,47.24,26.01,86.59,6.62,160.62,rice,Tamil Nadu
91.23,48.18,44.67,31.4,82.54,6.32,208.18,rice,Punjab
99.12,51.73,48.11,32.65,88.39,5.57,126.41,rice,West Bengal
82.63,44.0,42.21,30.71,74.78,7.0,132.59,rice,West Bengal
93.15,50.5,43.84,25.5,78.88,6.9,230.94,rice,Andhra Pradesh
81.55,51.35,46.11,34.82,83.19,6.77,178.59,rice,Tamil Nadu
91.5,52.15,45.87,25.52,83.71,6.9,184.71,rice,West Bengal
97.76,52.93,42.85,31.11,78.74,6.63,130.27,rice,Andhra Pradesh
99.6,57.9,45.52,34.74,76.51,6.46,214.8,rice,Andhra Pradesh
84.2,56.23,44.21,26.0,78.71,6.48,178.74,rice,Odisha
90.95,44.93,49.54,34.09,87.87,5.66,242.6,rice,Punjab
81.95,40.01,45.46,28.02,82.01,5.83,182.47,rice,Punjab
84.74,43.33,47.95,26.58,76.86,5.92,185.78,rice,Odisha
92.13,51.27,42.71,27.34,84.71,6.33,129.04,rice,West Bengal
85.78,55.47,42.1,25.36,82.96,5.66,236.0,rice,West Bengal
95.39,45.04,48.36,30.26,89.03,6.04,195.89,rice,West Bengal
91.62,44.04,43.8,32.19,70.03,5.61,194.05,rice,Punjab
93.48,48.64,41.9,27.25,83.19,6.03,207.9,rice,West Bengal
94.91,52.07,49.51,33.7,76.45,5.53,205.0,rice,Tamil Nadu
98.54,59.74,43.4,33.84,85.94,6.95,127.54,rice,Andhra Pradesh
93.96,55.95,41.52,25.59,71.14,5.88,188.05,rice,West Bengal
94.53,49.62,46.06,33.18,85.26,6.48,239.47,rice,Andhra Pradesh
89.13,58.32,40.37,34.77,84.78,6.91,154.93,rice,Odisha
96.12,42.79,43.6,27.49,85.05,5.86,220.83,rice,West Bengal
99.65,41.86,41.64,33.02,87.39,6.29,184.8,rice,Andhra Pradesh
98.39,48.74,42.13,27.38,81.23,6.98,127.58,rice,West Bengal
80.78,46.44,42.72,33.83,79.37,5.64,133.62,rice,Tamil Nadu
88.44,42.02,45.44,26.9,76.52,5.87,197.31,rice,Andhra Pradesh
81.34,50.21,41.97,27.26,72.82,6.13,126.24,rice,West Bengal
86.64,40.85,43.61,26.07,72.11,6.98,178.04,rice,West Bengal
85.98,55.51,44.89,25.58,78.03,5.83,170.86,rice,Punjab
90.23,50.98,42.03,31.49,84.95,6.85,142.46,rice,West Bengal
83.72,59.59,47.9,32.4,78.89,6.34,164.4,rice,West Bengal
96.93,51.99,43.1,32.63,89.0,6.84,196.74,rice,Punjab
89.93,40.69,49.77,29.99,79.78,6.78,131.2,rice,Odisha
91.56,48.93,43.48,33.0,72.94,6.7,191.64,rice,West Bengal
97.62,58.18,44.19,28.47,80.68,5.62,206.35,rice,West Bengal
85.46,58.32,47.14,31.02,86.33,5.78,241.73,rice,Punjab
88.26,58.65,43.21,30.26,84.3,6.68,210.33,rice,Tamil Nadu
89.91,44.78,46.7,30.88,70.31,6.87,136.91,rice,Odisha
94.79,49.03,43.72,25.23,77.17,6.81,239.24,rice,Andhra Pradesh
92.36,47.75,43.86,29.13,74.21,5.54,130.52,rice,Andhra Pradesh
91.82,43.23,44.09,30.73,80.63,6.1,122.1,rice,Andhra Pradesh
83.55,41.49,41.48,29.34,83.81,6.21,137.5,rice,Tamil Nadu
90.02,51.21,41.72,26.46,79.01,6.3,183.67,rice,Odisha
90.36,40.67,44.56,34.64,70.18,5.68,229.93,rice,Tamil Nadu
85.45,58.61,46.08,25.3,85.32,6.28,140.73,rice,Odisha
80.16,58.63,48.1,30.12,87.47,6.22,190.96,rice,Andhra Pradesh
82.42,40.87,45.98,29.37,87.76,5.65,121.45,rice,Andhra Pradesh
94.07,53.65,44.38,27.87,70.0,5.91,215.64,rice,Odisha
94.01,51.85,47.97,33.44,79.59,6.56,172.28,rice,Odisha
96.97,42.83,43.52,28.87,70.91,6.38,199.26,rice,Tamil Nadu
94.17,43.96,49.68,34.6,71.15,5.95,169.52,rice,Odisha
84.03,57.96,47.96,31.86,72.67,6.67,231.35,rice,Odisha
96.25,41.42,42.11,27.99,82.03,5.55,133.68,rice,Andhra Pradesh
88.72,51.94,42.89,31.04,75.84,6.25,217.09,rice,Odisha
95.4,42.34,47.05,28.55,89.04,6.13,190.61,rice,Andhra Pradesh
84.59,51.26,42.12,29.63,82.99,6.39,188.96,rice,Punjab
93.99,41.61,42.47,30.35,74.22,6.0,188.87,rice,Punjab
84.16,51.35,46.89,27.47,75.05,6.04,151.41,rice,Punjab
95.43,42.27,47.82,29.02,73.97,5.52,190.53,rice,Andhra Pradesh
95.47,54.87,46.94,34.66,89.67,5.94,230.92,rice,Odisha
96.16,40.55,41.88,30.3,70.42,5.99,245.76,rice,Punjab
83.2,47.79,43.29,26.94,86.42,6.18,127.19,rice,Andhra Pradesh
95.05,40.87,42.22,32.72,78.13,6.27,241.85,rice,Odisha
83.25,55.72,40.11,26.38,80.57,6.23,162.85,rice,Andhra Pradesh
84.38,48.18,40.7,34.96,82.87,5.56,149.59,rice,Punjab
92.44,58.64,44.51,28.65,74.3,6.87,204.93,rice,West Bengal
82.25,49.81,48.83,33.68,78.91,5.78,226.17,rice,Tamil Nadu
80.37,51.92,42.43,31.25,75.37,6.99,139.82,rice,Andhra Pradesh
92.34,51.96,43.99,33.42,84.88,6.25,213.29,rice,Andhra Pradesh
82.21,54.5,47.52,26.31,77.34,5.53,229.6,rice,Punjab
87.24,40.65,45.24,29.68,78.79,6.43,209.31,rice,Tamil Nadu
92.54,54.1,44.37,32.06,72.38,6.55,121.86,rice,Punjab
85.58,52.59,41.33,33.42,83.8,6.37,163.83,rice,Odisha
85.82,41.46,44.44,30.66,80.39,6.85,220.97,rice,Tamil Nadu
90.77,45.47,42.78,27.89,79.0,6.18,214.95,rice,Andhra Pradesh
95.05,55.62,42.21,31.48,71.17,5.87,162.03,rice,Odisha
98.43,45.08,42.76,32.04,83.17,5.56,141.38,rice,Andhra Pradesh
93.79,44.4,43.59,29.92,76.39,6.38,236.5,rice,Tamil Nadu
98.74,52.82,47.16,32.71,88.13,5.92,150.32,rice,Odisha
88.83,54.46,43.45,31.46,72.61,6.54,247.63,rice,West Bengal
94.45,51.19,42.73,26.99,75.6,6.4,123.62,rice,Andhra Pradesh
89.59,54.91,41.01,29.01,80.0,5.99,235.31,rice,Andhra Pradesh
90.39,58.92,41.44,33.07,73.41,5.72,204.24,rice,Punjab
88.44,43.12,41.27,29.42,76.95,5.54,233.24,rice,Punjab
89.5,41.49,41.09,31.71,72.87,6.24,168.18,rice,Andhra Pradesh
99.69,52.94,42.79,26.19,80.39,6.48,146.38,rice,Andhra Pradesh
94.31,42.19,42.38,29.6,78.08,5.56,240.56,rice,Odisha
86.97,59.6,43.5,28.23,83.4,6.83,144.91,rice,Odisha
81.06,46.06,40.22,33.42,74.85,6.7,178.93,rice,West Bengal
88.07,47.7,43.84,26.13,82.46,6.94,236.95,rice,Odisha
81.18,58.83,47.44,25.96,79.04,5.53,128.11,rice,Tamil Nadu
86.56,52.69,44.58,29.34,83.05,6.45,158.79,rice,Odisha
80.69,56.5,41.15,32.81,74.2,6.98,172.79,rice,Andhra Pradesh
90.9,54.34,44.49,29.65,82.09,6.44,165.33,rice,Punjab
94.62,54.67,48.57,27.82,82.25,6.95,140.13,rice,Punjab
93.18,44.86,42.59,31.85,77.37,6.67,225.93,rice,Tamil Nadu
99.69,43.45,42.86,34.2,83.99,6.3,160.21,rice,Andhra Pradesh
91.32,40.48,41.79,27.93,73.18,5.8,177.35,rice,West Bengal
95.37,59.4,48.33,32.14,80.54,6.86,159.85,rice,Punjab
93.81,44.27,43.39,28.98,79.72,6.44,248.29,rice,Punjab
81.07,42.57,43.62,27.43,73.41,6.4,186.13,rice,Odisha
80.43,49.88,44.69,25.19,81.56,6.57,242.99,rice,Andhra Pradesh
86.3,57.28,46.74,28.74,85.58,5.98,166.42,rice,Punjab
90.21,54.71,44.73,29.82,88.03,5.79,141.86,rice,West Bengal
96.9,51.03,49.58,30.44,82.02,5.89,182.59,rice,Punjab
87.65,53.2,46.12,25.23,77.83,6.46,183.44,rice,Odisha
90.51,49.02,43.16,31.92,85.69,6.99,219.78,rice,West Bengal
83.42,46.55,42.78,25.76,70.72,6.32,184.35,rice,Tamil Nadu
84.66,56.87,40.66,33.13,79.17,6.34,146.97,rice,Punjab
96.32,43.42,44.93,32.35,86.63,6.75,162.76,rice,Punjab
80.98,45.78,48.8,31.61,74.62,6.89,129.48,rice,Andhra Pradesh
84.81,56.98,49.67,29.22,88.81,6.99,176.62,rice,Punjab
84.27,52.82,48.79,27.27,81.61,6.51,180.53,rice,Tamil Nadu
85.09,42.39,44.0,26.69,80.56,6.6,143.85,rice,Andhra Pradesh
98.25,45.85,47.88,31.12,84.08,5.7,216.22,rice,Odisha
89.99,48.61,45.29,26.15,85.74,6.62,163.48,rice,Tamil Nadu
92.66,48.22,44.37,26.87,80.11,5.91,159.04,rice,Andhra Pradesh
98.95,47.32,49.54,30.83,76.38,5.91,182.24,rice,Punjab
87.89,46.57,41.19,26.92,84.4,5.56,184.46,rice,Punjab
97.36,43.55,47.98,28.47,77.39,5.94,192.42,rice,Tamil Nadu
99.53,54.02,44.51,29.01,79.25,6.08,244.24,rice,Tamil Nadu
88.75,51.77,46.56,34.54,85.28,6.33,167.18,rice,Odisha
96.77,49.49,42.19,31.51,73.81,6.16,139.13,rice,West Bengal
89.9,40.86,40.6,31.02,72.97,5.5,141.76,rice,West Bengal
85.12,52.69,47.81,31.58,86.77,6.8,173.28,rice,Odisha
90.62,58.04,45.61,26.82,77.42,6.74,133.06,rice,West Bengal
80.89,42.31,45.42,27.86,77.29,6.52,247.6,rice,Odisha
96.86,57.28,45.36,30.23,87.58,6.62,175.59,rice,Odisha
98.22,51.62,46.64,30.67,84.76,6.89,213.26,rice,West Bengal
89.69,55.99,48.98,29.45,85.87,6.96,205.87,rice,Tamil Nadu
89.64,57.55,48.46,34.75,75.98,6.79,204.88,rice,Punjab
90.3,51.82,46.12,27.5,72.86,6.75,180.59,rice,West Bengal
93.54,56.61,45.96,31.76,84.98,6.92,245.63,rice,Andhra Pradesh
92.12,43.37,49.76,30.29,75.63,5.73,158.53,rice,West Bengal
81.52,47.09,47.67,34.58,84.17,6.49,231.72,rice,Andhra Pradesh
89.96,42.87,48.53,32.99,87.31,6.6,228.02,rice,Punjab
94.97,50.94,45.66,25.95,79.43,5.98,161.81,rice,Tamil Nadu
83.62,58.24,43.35,32.78,71.63,6.66,216.88,rice,West Bengal
96.85,52.34,46.06,32.93,78.94,6.35,166.03,rice,Tamil Nadu
98.39,44.88,45.42,33.49,86.59,5.7,217.05,rice,Andhra Pradesh
87.11,43.4,48.01,27.48,77.59,5.6,186.64,rice,West Bengal
83.93,49.88,47.99,34.76,70.58,6.27,218.38,rice,West Bengal
91.24,45.6,46.15,26.88,75.02,6.24,126.13,rice,Punjab
98.29,55.34,43.34,29.92,77.82,5.79,236.74,rice,Tamil Nadu
87.13,57.66,40.79,34.62,85.27,5.65,241.27,rice,Tamil Nadu
82.09,45.96,49.36,28.83,89.92,5.78,124.93,rice,Punjab
87.79,53.6,44.37,34.6,75.28,5.89,121.99,rice,Punjab
84.22,41.94,43.03,27.24,75.27,5.62,196.63,rice,Odisha
87.47,44.03,49.86,29.4,85.1,6.03,151.26,rice,Andhra Pradesh
96.81,46.23,44.01,27.86,88.67,6.77,153.32,rice,Andhra Pradesh
90.82,49.03,41.88,27.54,73.22,5.81,181.6,rice,Tamil Nadu
87.67,54.25,47.46,34.8,79.81,6.5,138.71,rice,Punjab
92.8,44.14,40.49,25.6,89.73,6.31,178.13,rice,Odisha
93.74,48.76,40.3,26.21,75.57,5.73,155.14,rice,Tamil Nadu
89.49,42.87,45.52,29.01,87.43,6.33,198.82,rice,Tamil Nadu
99.39,45.01,46.66,31.79,87.19,6.98,194.77,rice,Andhra Pradesh
81.14,55.01,49.28,26.27,85.99,5.94,195.3,rice,Punjab
98.57,43.96,40.23,26.66,72.48,5.57,157.84,rice,Odisha
86.98,56.09,42.95,25.91,82.65,6.4,198.45,rice,Punjab
84.68,45.97,49.32,25.47,86.2,6.01,126.41,rice,Andhra Pradesh
88.56,53.8,41.71,28.57,75.63,5.66,190.21,rice,Andhra Pradesh
81.56,53.54,44.38,32.1,78.71,6.86,224.27,rice,Andhra Pradesh
84.25,52.19,41.34,30.65,85.76,5.69,186.16,rice,Andhra Pradesh
87.18,54.51,46.19,27.99,87.45,6.53,226.94,rice,Andhra Pradesh
90.42,41.33,49.93,32.16,89.12,6.82,165.84,rice,West Bengal
89.22,42.95,46.05,27.41,85.15,6.98,175.0,rice,Tamil Nadu
83.87,57.79,45.64,28.97,70.89,6.88,157.21,rice,West Bengal
83.46,48.05,49.03,28.22,88.46,5.67,182.92,rice,Punjab
87.58,52.02,45.43,34.82,85.44,6.24,143.61,rice,Odisha
80.86,46.01,44.14,28.47,76.8,6.39,185.65,rice,Andhra Pradesh
93.71,44.29,41.61,27.75,70.09,6.64,188.71,rice,West Bengal
92.94,51.58,47.35,27.03,80.82,6.96,201.51,rice,Punjab
88.15,44.55,45.93,29.7,76.14,6.65,156.23,rice,Tamil Nadu
82.48,52.14,46.47,29.66,85.31,6.71,209.59,rice,Tamil Nadu
99.04,40.91,49.31,27.18,75.56,6.27,231.11,rice,Andhra Pradesh
83.13,44.59,47.37,29.43,85.51,6.31,224.29,rice,Tamil Nadu
85.46,47.04,44.6,33.64,84.48,5.7,128.2,rice,Tamil Nadu
89.53,58.26,46.8,29.35,72.88,6.36,203.93,rice,Odisha
97.91,41.92,49.55,33.16,76.43,6.74,140.47,rice,Punjab
93.7,56.38,42.99,30.27,83.87,6.58,154.48,rice,Punjab
85.66,55.97,40.49,28.65,84.75,6.82,183.76,rice,Andhra Pradesh
95.42,43.35,42.79,33.94,78.28,6.29,229.61,rice,Tamil Nadu
92.86,53.98,42.32,34.94,83.44,6.08,238.15,rice,West Bengal
92.09,59.09,48.7,33.91,80.58,6.75,210.74,rice,Tamil Nadu
88.98,44.22,41.39,32.58,77.85,5.77,207.31,rice,Tamil Nadu
92.07,52.92,48.37,34.45,70.94,5.9,165.78,rice,Odisha
82.87,41.31,44.09,28.24,70.77,5.59,239.66,rice,Punjab
85.8,45.24,40.83,29.77,78.17,5.52,206.53,rice,Tamil Nadu
88.56,55.91,45.83,31.11,83.69,5.52,194.8,rice,Odisha
95.57,50.76,41.2,28.9,88.76,6.54,213.21,rice,Odisha
93.77,49.96,46.46,29.84,73.8,6.07,129.12,rice,West Bengal
98.03,58.43,46.66,27.33,70.3,6.47,220.86,rice,West Bengal
97.1,46.16,40.81,26.45,82.15,5.91,233.97,rice,Punjab
81.35,47.56,43.88,27.17,71.15,6.03,121.45,rice,Tamil Nadu
94.91,57.74,48.57,29.77,71.8,5.53,226.06,rice,Odisha
82.23,43.23,49.73,25.02,70.11,5.6,231.07,rice,Tamil Nadu
96.39,40.65,48.75,25.66,76.65,6.14,143.57,rice,West Bengal
