state,crop,N,P,K,ph,rainfall_2025_mm,temp_2025_C,pesticide_2025_kg_ha,yield_2025_t_ha
Bihar,tea,57.6,32.83,56.39,5.24,1848.6,22.01,0.926,2.791
West Bengal,cotton,64.03,35.12,59.92,6.03,606.38,28.58,1.418,0.887
Himachal Pradesh,potato,198.88,51,169.7,5.12,927.97,14.98,1.145,23.436
Bihar,cotton,62.74,54.9,98.13,6.26,700.42,27.67,1.704,1.108
Haryana,sugarcane,124.14,65.34,139.43,7.24,1959.13,23.05,1.452,98.019
Uttarakhand,wheat,62.9,48.98,40.21,6.07,414.12,25.26,0.583,3.276
Jharkhand,soybean,42.28,44.81,47.55,7.08,450.73,28.04,0.648,0.957
Manipur,cotton,84.57,51.84,51.17,7.99,688.92,31.88,0.821,0.82
Uttarakhand,soybean,38.38,32.2,43.54,7.37,863.35,27.61,0.48,2.652
Goa,maize,56.57,39.04,46.3,6.61,657.37,18.46,0.262,2.943
Gujarat,tomato,153.76,72.53,101.17,6.22,1208.14,23.27,1.214,67.451
Rajasthan,coffee,33.84,27.71,45.42,5.65,2066.07,23.22,0.792,2.092
Himachal Pradesh,rice,97.06,31.73,53.12,6.35,1129.63,22.56,0.595,4.908
Jharkhand,cotton,88.28,44.62,45.39,6.73,768.33,26.85,1.847,1.876
Mizoram,tomato,157.96,57.66,142.13,6.15,1379.49,25.36,0.916,44.807
Uttarakhand,maize,55.77,26.53,37.35,6.16,674.55,24.48,0.343,4.829
Chhattisgarh,wheat,68.79,44.9,37.49,6.05,580.44,14.16,0.323,2.725
Kerala,wheat,83.51,49.27,22.9,7.61,519.21,21.16,0.611,4.134
Goa,tea,32.61,24.02,44.53,5.45,3129.62,16.19,0.303,3.875
Gujarat,groundnut,35.1,22.18,76.67,7.03,845.38,32.13,0.584,1.183
Telangana,pulses,39.03,37.13,13.9,6.12,496.49,22.23,0.052,0.474
Assam,banana,231.59,77.96,322.57,6.19,1581.9,22.86,1.769,52.455
Himachal Pradesh,wheat,86.41,36.91,38.38,7.58,556.08,14.05,0.357,4.563
Mizoram,mango,83.84,21.86,132.93,5.93,1357.1,33.08,0.256,28.603
West Bengal,pulses,37.16,28.83,15.36,6.18,462.06,26.43,0.167,0.829
Mizoram,rice,109.56,38.23,42.99,5.54,1631.98,25.31,0.65,7.257
Arunachal Pradesh,groundnut,42.33,27.37,77.78,6.07,520.69,22.8,0.482,1.485
Rajasthan,potato,193.54,65.54,200.65,5.01,1185.29,21.69,0.917,33.54
Nagaland,potato,198.76,90.95,246.25,6.32,783.34,16.42,0.487,15.944
Mizoram,pulses,31.95,24.84,36.26,7.85,786.43,29.33,0.083,1.549
Manipur,mango,117.17,32.55,135.14,6.36,1662.78,32.71,0.924,25.712
Andhra Pradesh,groundnut,43.11,32.31,46.27,5.56,587.64,20.85,0.739,2.476
Uttarakhand,wheat,61.81,56.23,35.75,7.79,412.23,16.15,0.353,3.043
Sikkim,mango,89.45,50.26,112.21,7.37,1664.37,34.8,0.917,24.967
Punjab,tea,46.23,37.17,33.94,5.9,3513.99,17.77,0.918,2.978
Uttar Pradesh,sugarcane,177.48,59.02,84.49,7.37,1523.71,25.86,1.1,80.998
Nagaland,banana,164.58,70.66,282.46,6.27,1614.51,27.21,1.55,26.369
Meghalaya,maize,52.09,28.02,44.53,5.55,683.11,18.44,0.304,6.068
Uttarakhand,maize,58.03,43.16,22.18,7.06,445.63,19.02,0.153,3.336
Uttar Pradesh,cotton,88.44,57.58,85.74,7.57,790.96,29.35,2.232,1.547
Rajasthan,tomato,156.19,67.45,91.15,5.9,966.41,21.48,3.643,44.538
Uttar Pradesh,soybean,20.93,45.53,31.23,6.48,712.09,21.74,0.424,1.571
Sikkim,tomato,138.79,41.05,92.52,5.68,1173.41,22.06,0.797,60.962
Himachal Pradesh,tea,44.01,25.35,39.84,5.61,1902.9,24.14,0.402,2.518
Meghalaya,coffee,51.64,27.13,30.63,6.41,2435.76,20.04,0.688,2.221
Uttarakhand,groundnut,39.5,39.87,55.88,7.04,643.65,29.23,0.192,1.601
Nagaland,mango,60.51,55.91,72.75,5.9,1521.36,22.51,0.816,24.766
Manipur,millet,25.1,19.71,26.26,7.32,210.22,30.54,0.156,1.189
Arunachal Pradesh,cotton,84.63,50.31,83.12,7.8,624.87,24.61,2.179,2.03
Goa,rice,92.74,39.87,37.27,5.03,1933.91,33.9,0.63,6.374
Uttarakhand,pulses,38.23,38.53,12.68,6.31,567.5,28.84,0.175,0.546
Andhra Pradesh,millet,21.61,21.91,36.87,7.28,468.09,32.04,0.091,1.164
Odisha,coffee,45.66,41.23,67.78,5.85,1594.34,20.22,0.561,0.934
Goa,pulses,36.83,32.74,27.89,7.13,515.31,20.44,0.161,1.608
Uttarakhand,rice,79.37,45.72,47.76,6.88,1516.64,33.32,1.09,3.398
Himachal Pradesh,tea,31.4,33.19,37.15,5.01,1859.08,16.56,0.845,3.047
Arunachal Pradesh,maize,65.19,48.97,32.24,6.05,599.44,24.32,0.273,3.103
Rajasthan,coffee,39.66,44.33,36.18,6.05,1159.7,20.6,1.191,1.665
Mizoram,potato,131.48,63.33,186.49,5.91,723.83,19.55,1.034,22.46
Karnataka,maize,60.33,26.32,32.5,6.02,945.01,31.05,0.425,4.191
Haryana,pulses,36.18,40.08,17.47,7.12,660.4,24.51,0.124,1.368
Gujarat,sugarcane,128.73,63,80.8,7.11,1664.91,25.77,1.063,81.556
Tripura,groundnut,45.57,29.51,54.95,6.09,888.04,20.89,0.247,2.277
Punjab,groundnut,36.12,36.22,75.42,5.94,728.82,34.4,0.199,1.712
Rajasthan,tea,41.48,34.87,46.59,5.9,3495.49,23.42,0.302,3.677
Sikkim,millet,34.89,17.54,17.07,6.56,623.95,34.74,0.312,1.439
Kerala,banana,246.62,66.56,224.93,6.74,2521.66,23.54,1.562,49.313
Punjab,soybean,43.44,41.85,27.28,6.06,570.29,25.1,0.386,2.745
Rajasthan,pulses,38.25,47.78,16.86,6.48,659.99,28.13,0.174,1.584
Punjab,tea,55.74,39.88,44.79,5.39,1999.81,16.1,0.437,2.286
Manipur,sugarcane,152.98,64.31,102.11,7.04,934.03,22.03,1.76,76.161
Bihar,sugarcane,139.34,88.31,139.29,7.44,1402.88,27.04,1.032,112.185
Chhattisgarh,tomato,108.68,76,106.19,6.14,1327.45,29.99,2.418,45.979
West Bengal,rice,73.59,44.66,56.05,5.3,1975.58,32.06,0.839,4.406
Mizoram,millet,24.45,26.55,19.45,6.68,513.78,27.43,0.308,1.859
Nagaland,mango,102.76,45.9,117.26,7.24,1413.3,32.39,0.27,15.747
Madhya Pradesh,rice,99.6,56.86,37.53,5.28,1626.73,31.21,1.004,4.363
Himachal Pradesh,sugarcane,138.93,82.49,101.73,7.19,1806.86,29.22,1.118,119.887
Assam,maize,52.88,31.14,29.18,7.49,515.56,22.39,0.234,5.723
Kerala,wheat,60.1,35.35,39.93,6.88,552.22,11.83,0.793,2.239
Mizoram,sugarcane,174.03,53.83,96.19,6.33,1870.36,24.37,2.581,114.898
Kerala,mango,64.89,59.11,146.1,6.1,1141.77,20.56,0.969,13.014
Madhya Pradesh,pulses,22.44,36.12,20.57,6.68,407.42,19.77,0.077,0.915
Telangana,groundnut,40.45,38.53,64.15,7.06,811.85,33.15,0.327,2.173
Goa,tomato,154.04,40.1,138.25,6.54,993.03,18.77,1.046,46.476
Nagaland,maize,72.57,33.53,23.4,6.02,852.82,21.99,0.212,5.345
Karnataka,wheat,80.57,52.51,20.13,6.71,637.3,21.33,0.849,4.658
Sikkim,tomato,106.15,71.28,106.43,5.89,752.01,26.71,2.913,25.373
Telangana,coffee,57.71,24.38,65.45,5.95,1185.1,23.49,0.836,0.825
Haryana,potato,123.55,50.67,138.54,6.44,754.9,21.57,0.433,22.716
Sikkim,groundnut,37.16,36.03,41,5.57,555.61,21.9,0.286,1.757
Tripura,wheat,62.49,36.51,35.15,7.62,658.67,11.95,0.687,2.55
Sikkim,mango,66.39,41,70.58,5.88,1491.41,21.34,0.911,20.21
Maharashtra,banana,189.79,86.06,256.67,5.79,1700.47,31.71,0.676,62.326
Tamil Nadu,sugarcane,123.23,57.31,87.99,6.66,1303.96,26.89,1.883,67.231
Mizoram,pulses,10.41,40.51,34.29,6.76,412.83,20.21,0.232,0.529
Telangana,maize,77.72,24.77,47.32,6.33,965.5,20.31,0.176,4.652
Arunachal Pradesh,pulses,26.72,25.02,16.52,6.31,379.42,30.18,0.178,0.438
Chhattisgarh,tomato,134.89,46.76,151.66,6.59,680.36,23.68,1.512,34.322
Punjab,millet,27.88,13.18,35.72,7.07,492.7,31.92,0.196,1.037
Uttarakhand,wheat,93.89,57.19,24.18,7.77,468.45,17.82,0.367,2.949
Kerala,soybean,56.7,43.99,27.04,6.12,542.11,22.98,0.683,1.475
Punjab,potato,187.05,98.33,195.24,6.42,808.46,11.95,0.875,30.409
Madhya Pradesh,groundnut,46.4,29.98,76.4,6.55,619.98,25.61,0.513,1.567
Andhra Pradesh,groundnut,37.7,31.64,79.25,6.36,811.23,24.77,0.127,2.83
Arunachal Pradesh,maize,76.72,20.69,22.59,7.26,675.48,24,0.637,3.132
Madhya Pradesh,mango,111.79,54.3,52.15,6.64,1519,26.92,0.924,16.75
Nagaland,groundnut,49.66,38.23,55.88,5.64,570.18,31.17,0.191,1.155
Gujarat,soybean,53.33,34.48,28.9,6.54,396.91,25.62,0.18,2.18
Gujarat,banana,230.94,84.66,242.7,5.58,1488.7,28.96,1.619,38.335
Sikkim,groundnut,26.05,22.53,43.63,5.95,937.28,27.79,0.517,2.205
Haryana,rice,87.45,35.94,32.16,6.12,1341.24,33.49,0.812,6.45
Haryana,wheat,97.63,48.97,43.6,7.67,329.96,12.5,0.417,2.374
Punjab,wheat,76,55.99,46.44,6.04,323.66,19.68,0.364,2.036
Uttarakhand,maize,51.8,28.44,33.45,5.81,586.26,28.18,0.573,6.187
Telangana,rice,96.32,51.18,34.19,5.63,1204.02,24.49,0.93,5.972
Rajasthan,millet,34.55,13.28,17.31,7.39,290.1,30.21,0.195,1.305
Nagaland,potato,129.48,96.46,155.94,5.15,957.72,16.68,0.586,38.308
Andhra Pradesh,soybean,40.08,58.65,28.86,6.15,714.53,28.98,0.283,3.352
Goa,millet,46.98,28.02,12.39,7.2,572.39,31.59,0.084,2.199
Madhya Pradesh,groundnut,48.72,24.4,40.67,7.48,506.79,33.75,0.683,2.121
Assam,coffee,64.81,44.58,39.92,5.63,1691.93,18.86,0.855,2.342
Uttarakhand,maize,54.17,23.69,24.55,6.02,735.55,20.67,0.718,4.796
Uttar Pradesh,cotton,84.98,48.46,53.57,7.48,419.89,27.8,1.129,1.303
Chhattisgarh,millet,44.84,21.52,33.11,7.97,431.54,25.62,0.059,2.192
Himachal Pradesh,mango,77.03,49.38,123.21,6.73,1398.38,33.77,0.52,26.144
Telangana,banana,236.55,78.86,228.72,6.09,2287.6,31.45,2.197,48.514
Assam,potato,180.43,61.19,242.43,5.25,587.02,25.2,1.076,21.853
Gujarat,potato,164.47,88.39,228.46,5.35,887.87,24.5,0.766,19.242
Tripura,coffee,57.09,46.14,50.14,5.88,1443.49,20.39,0.708,1.201
Kerala,cotton,88.94,32.32,65.45,7.67,631.28,30.14,0.618,1.138
Assam,sugarcane,147.73,87.72,127.4,6.53,1256.66,29.09,1.636,88.267
Jharkhand,maize,55.24,47.6,26.31,5.67,366.54,26.36,0.169,3.304
Uttar Pradesh,coffee,68.15,25.97,39.64,6.31,1530.68,25.42,0.433,1.702
Nagaland,mango,101.17,38.7,71.21,6.99,769.08,25.84,0.8,13.001
Telangana,rice,74.14,55.71,33.73,6.07,873.14,25.49,1.155,4.869
Gujarat,banana,152.36,76.72,203.13,6.06,1720.67,26.05,1.01,41.733
Tripura,soybean,30.89,37.32,20.97,7.28,577.4,24.36,0.418,2.107
Maharashtra,soybean,47.16,31.08,47.32,6.39,521.32,22.82,0.359,2.324
Uttarakhand,maize,60.71,31.63,42.99,6.15,657.6,31.3,0.636,4.527
Tripura,tomato,146.32,70.2,122.81,6.3,787.28,26.48,2.202,28.941
Gujarat,cotton,63.06,39.69,62.28,7.85,843.05,33.13,1.503,1.273
Assam,sugarcane,143.7,79.37,107.08,6.34,1102.87,25.57,1.205,91.301
Chhattisgarh,potato,153.78,82.59,177.16,5.38,751.89,10.25,1.316,20.834
Arunachal Pradesh,sugarcane,143.47,70.71,98.23,7.12,1616.19,21.11,2.466,109.433
Rajasthan,soybean,26.28,50.14,35.88,6.88,729.23,26.6,0.178,2.298
Uttar Pradesh,millet,32.3,16.2,13,6.01,446.61,34.77,0.35,1.422
Telangana,tomato,151.41,45.96,137.28,6.68,1221.69,26.34,3.03,49.393
Uttarakhand,rice,86.89,43.12,41.49,6.85,1463.75,32.19,0.513,4.094
Chhattisgarh,cotton,93.38,39.43,95.23,7.63,699.28,30.63,0.753,1.251
Uttar Pradesh,maize,50.68,33.79,41.67,5.9,907.47,28.5,0.224,3.123
Meghalaya,sugarcane,127.05,54.58,111.53,7.09,1290.25,24.48,1.182,95.477
Karnataka,soybean,20.56,43.17,48.13,7.16,928.43,23.44,0.475,2.286
Jharkhand,sugarcane,158.58,84.68,81.4,7.08,1053.57,22.23,1.074,74.331
Andhra Pradesh,cotton,94.04,39.8,98.5,6.63,487.08,29.62,0.758,1.535
Rajasthan,wheat,98.08,58.31,34.35,6.83,633.78,20.67,0.538,3.195
Meghalaya,tomato,112.77,76.01,135.63,6.37,1117.5,29.16,2.027,46.791
Manipur,potato,121.03,90.94,106.45,5.67,1204.94,16.04,0.667,20.596
Maharashtra,wheat,96.26,45.74,35.55,7.87,412.75,10.22,0.782,4.149
Himachal Pradesh,wheat,87.79,47.09,38.81,7.48,473.65,12.56,1.005,2.084
Bihar,coffee,65.62,33.41,57.06,6.37,2210.43,25.5,0.836,1.446
Kerala,millet,24.74,10.68,30.4,6.29,487.77,26.35,0.113,2.024
Maharashtra,sugarcane,126.13,59.56,131.47,6.39,1266.33,21.88,1.533,89.424
Tamil Nadu,rice,73.75,45.4,49.83,6.93,1557.44,27.59,1.131,4.343
West Bengal,banana,185.57,80.25,201.36,6.5,1472.15,26.48,1.193,24.494
Himachal Pradesh,maize,57.35,44.49,41.52,6.94,761.77,25.16,0.538,3.709
Chhattisgarh,maize,88.14,20.75,21.33,6.04,628.46,26.5,0.343,3.159
Meghalaya,banana,243.37,42.64,318.36,5.7,2062.64,32.74,1.204,28.172
Tamil Nadu,maize,82.31,24.63,32.63,6.56,493.11,24.01,0.139,5.951
Assam,coffee,53.57,29.76,62.37,6.48,2096.67,22.58,0.956,1.565
Gujarat,sugarcane,165.63,59.56,122.93,6.3,1709.99,28.76,1.34,85.101
Haryana,maize,62.54,39.74,43.32,5.89,535.67,29.22,0.36,2.786
Mizoram,cotton,96.05,57.83,56.4,6.73,819.23,26.42,0.798,1.976
Himachal Pradesh,maize,54.76,31.83,31.98,5.92,752.15,24.16,0.616,5.913
Punjab,millet,26.06,21.26,35.07,6.24,252.7,35.41,0.242,1.799
Madhya Pradesh,potato,186.46,86.45,208.16,6.06,1048.18,11.01,0.317,16.592
Assam,sugarcane,149.93,67.14,111.97,6.8,1495.59,29.78,1.994,71.31
Meghalaya,maize,53.14,21.45,23.76,6.41,416.2,26.92,0.623,4.173
Mizoram,maize,53.24,43.73,32.93,5.7,714.81,22.21,0.227,4.355
West Bengal,sugarcane,141.25,57.74,106.03,6.14,1158.7,25.99,1.521,58.448
Telangana,cotton,74.86,39.43,46.67,7.51,615.86,31.52,1.016,1.392
West Bengal,cotton,85.66,37.66,69.87,7.8,707.31,34.6,1.764,1.967
Meghalaya,banana,155.29,99,250.24,6.98,1741.81,28.86,0.725,40.274
Himachal Pradesh,sugarcane,159.29,80.14,103.61,6.58,1491.72,24.94,1.548,92.475
Haryana,rice,89.02,38.14,40.06,5.73,1027.49,21.84,0.959,4.671
Arunachal Pradesh,potato,115.63,81.86,155.04,5.08,651.31,18.82,1.336,30.978
Goa,mango,98.52,24.52,133.14,6.7,853.62,23.66,0.464,15.173
Sikkim,millet,39.35,29.94,12.67,7.99,510,30.18,0.144,2.805
Manipur,coffee,53.89,28.45,58.07,6.48,1372.23,23.32,0.517,1.131
Uttar Pradesh,soybean,44.28,46.01,45.42,6.25,820.24,28.99,0.322,2.862
Jharkhand,potato,167.19,86.37,131.86,5.88,1329.68,10.4,1.121,24.905
Punjab,coffee,56.73,34.63,41.21,5.88,2109.12,19.96,0.297,0.931
Odisha,tea,36.93,25.11,35.01,5.92,3398.57,21.51,0.458,2.592
Tripura,soybean,39.9,53.85,40.19,6.49,894.81,28.97,0.524,2.109
Arunachal Pradesh,wheat,80.5,37.6,32.58,6.7,411.44,20.63,0.825,2.513
Jharkhand,potato,125.43,56.96,112.91,6.49,868.3,12.67,0.5,24.841
Odisha,pulses,15.63,43.85,20.51,7.84,410.14,27.26,0.154,1.17
Arunachal Pradesh,wheat,95.69,48.97,30.11,7.68,366.92,21.96,0.45,3.948
Sikkim,tomato,86.23,61.17,83.88,6.25,1025.42,28.36,2.608,79.949
Maharashtra,mango,116.42,24.09,148.42,6.24,724.53,28.33,0.915,16.238
Mizoram,tomato,135.54,47.62,126.8,6.28,1184,28.33,1.424,62.742
Meghalaya,rice,70.5,47.95,40.35,6.87,987.05,22.85,1.42,5.396
Mizoram,pulses,39.64,35.4,18.7,6.33,330.44,28.28,0.139,0.873
Maharashtra,tea,43.53,37.67,56.43,5.62,4052.59,23.85,0.638,3.014
Kerala,millet,42.88,27.25,20.81,6.73,584.93,28.89,0.258,3.108
Goa,mango,116.71,39.23,143.53,6.74,724.7,34.64,0.867,15.937
West Bengal,wheat,76.44,52.9,30.7,6.55,497.37,20.95,0.661,2.71
Manipur,potato,151.26,72.49,195.88,5.14,858.7,15.76,0.642,20.95
Telangana,potato,150.42,49.75,194.46,5.29,681.47,13.51,1.342,35.309
Gujarat,tea,46.56,25.2,32.71,5.4,2165.54,16.37,0.9,2.879
Karnataka,sugarcane,175.73,69.33,134.56,6.35,1053.37,28.28,2.152,92.757
Jharkhand,soybean,58.77,58.54,27.12,6.73,562.83,25.9,0.573,1.182
Madhya Pradesh,groundnut,44.85,22.19,63.66,6.39,511.62,32.32,0.135,1.766
Telangana,mango,90.05,21.39,143.35,7.46,1317.42,21.37,1.034,12.415
Uttarakhand,soybean,49.03,42.51,47.86,7.25,612.3,25.55,0.684,1.989
Uttar Pradesh,rice,74.67,46.17,37.96,5.9,1632.04,29.62,0.649,5.971
Uttarakhand,tea,39.93,23.11,58.55,5.99,2266.27,16.06,0.585,2.468
Andhra Pradesh,banana,225.46,54.52,397.23,6.17,1264.22,26.96,1.889,50.413
Haryana,wheat,94.56,49.27,22.29,7.95,542.44,19.92,0.32,3.393
Chhattisgarh,tomato,128.02,51.49,80.4,6.03,751.48,24.12,2.804,56.818
Tripura,soybean,59.91,55.85,36.71,7.34,606.71,29.07,0.248,1.372
Sikkim,sugarcane,156.4,82.07,88.08,6.09,1470.8,24.22,1.248,77.138
Andhra Pradesh,tea,59.22,33.55,44.14,5.82,1794.17,20.08,1.041,2.518
Sikkim,potato,109.11,79.92,235.32,5.34,1339.53,25.23,0.464,22.995
Haryana,cotton,75.72,30.34,87.87,6.82,938.79,28.96,1.554,2.067
Madhya Pradesh,rice,101.33,42.54,51.77,6.05,892.78,32.38,1.148,3.236
Meghalaya,millet,45.1,10.4,13.5,6.19,489.32,31.95,0.074,1.552
Manipur,pulses,21.67,41.82,29.24,7.87,580.68,18.87,0.051,0.659
Arunachal Pradesh,rice,91.65,56.67,36.46,5.06,1301.41,28.08,0.442,3.886
Haryana,tea,33.95,30.5,44.77,4.83,2004.38,17.05,0.798,2.441
Kerala,groundnut,27.41,26.85,52.02,6.69,854.28,32.03,0.435,2.318
Sikkim,millet,27.71,21.48,36.75,6.77,454.23,33.7,0.16,1.272
Odisha,cotton,61.36,52.24,81.33,6.36,1011.52,33.48,2.095,1.067
Punjab,tea,30.73,38.79,55.19,5.05,3032.63,19.66,0.879,3.202
Goa,maize,54.05,38.11,48.32,6.34,906.91,27.84,0.826,5.955
Gujarat,coffee,37.01,33.54,48.55,5.84,1467.62,26.75,0.871,0.967
Tamil Nadu,coffee,63.52,21,63.43,6.42,3269.58,26.76,0.827,2.386
West Bengal,wheat,74.77,32.75,42.71,6.21,653.47,12.57,0.652,3.164
Manipur,tea,48.8,23.24,44.93,5.9,2809.53,16.88,0.84,2.219
Punjab,millet,29.71,19.2,36.81,6.57,502.72,26.46,0.173,1.753
Rajasthan,soybean,20.34,56.11,40.58,6.86,509.72,20.5,0.688,1.418
Gujarat,pulses,13.93,35.23,39.01,6.85,580.05,29.57,0.125,1.793
Tripura,sugarcane,173.65,65.23,88.43,6.91,1197.55,21.16,2.233,80.206
Chhattisgarh,wheat,85.05,53.88,49.42,6.17,272.75,17.07,0.786,2.331
Mizoram,coffee,35.94,34.09,33.44,6.08,1420.05,26.08,0.305,1.439
Nagaland,banana,171.03,73.29,260.45,5.77,1616.29,20.23,2.209,48.971
Haryana,pulses,18.09,37.93,23.25,6.33,740.18,23.83,0.142,2.301
Tripura,potato,180.1,41.73,119.56,5.03,595.52,21.37,0.604,11.923
Assam,sugarcane,122.54,83.85,135.23,7.48,1889.14,27.94,2.872,118.55
Maharashtra,wheat,92.11,36.56,39.01,7.53,555.51,25.31,0.4,3.997
Bihar,banana,206.59,42.21,363.39,6.66,2049.89,28.09,1.126,43.949
Sikkim,rice,81.4,45.27,56.85,5.07,1769.02,24.56,1.236,6.38
Chhattisgarh,cotton,83.69,50.54,49.75,7.78,668.03,27.18,2.121,1.27
Mizoram,pulses,10.3,27.99,23.07,6.87,294.64,28.47,0.042,0.67
Himachal Pradesh,tea,53.67,22.41,47.23,5.07,3201.79,16.99,0.728,2.984
Uttarakhand,rice,92.77,55.29,40.63,6.06,1400.48,30.29,1.074,3.475
Haryana,sugarcane,121.26,79.01,136.97,7.44,1408.07,27.96,2.98,60.43
Tripura,cotton,90.85,58.4,52.64,7.06,663.52,28.76,1.428,0.951
Maharashtra,tea,56.37,22.5,40,4.65,3923.94,18.54,1.026,2.912
Andhra Pradesh,sugarcane,132.3,52.6,129.82,6.29,1221.95,25.99,1.304,64.362
Kerala,wheat,97.57,53.05,39.02,6.1,491.91,21.36,0.522,2.888
Uttar Pradesh,groundnut,43.98,22.62,44.28,5.56,1124.52,28.58,0.185,2.025
Bihar,wheat,70.76,53.89,31.14,7.02,349.51,18.38,0.398,2.008
Sikkim,banana,218.9,80.59,395.18,5.56,1841.84,30.54,0.917,42.781
Odisha,pulses,34.52,30.11,24.23,6.14,657.78,25.6,0.189,0.985
Haryana,potato,165.17,83.14,158.06,5.07,983.83,18.11,0.595,21.016
Kerala,millet,49.16,21.5,11.56,6.6,184.35,31.78,0.275,0.713
Haryana,wheat,63.68,48.56,26.49,6.17,553.49,10.38,0.604,3.853
Himachal Pradesh,mango,89.22,28.23,117.45,6.45,1165.85,28.16,0.505,14.937
Manipur,pulses,28.61,41.59,35.5,6.16,614.22,20.42,0.183,1.206
Tripura,banana,214.54,88.47,291.98,5.93,1583.86,21.84,0.941,26.877
Haryana,groundnut,32.25,33.33,58.45,6.09,701.65,31.42,0.256,1.316
Goa,rice,101.4,58.35,50.64,5.94,735.3,25.7,0.594,5.015
Maharashtra,tomato,154.53,71.35,154.65,6.79,729.86,25.49,0.806,59.023
Andhra Pradesh,rice,96.65,45.96,35.14,5.98,1162.19,23.54,1.225,4.247
Haryana,coffee,60.28,25.24,31.79,5.91,1532.8,19.32,0.59,1.746
Tamil Nadu,coffee,49.47,25.46,52.23,6.49,3015.01,24.5,0.546,2.565
Jharkhand,tea,54.46,34.57,40.38,5.7,2002.45,17.62,0.527,2.693
Himachal Pradesh,sugarcane,161.09,78.59,117.26,6.61,1399.51,26.4,1.152,64.744
Rajasthan,rice,100.76,56.39,41.82,5.91,1760.2,31.21,1.582,7.029
Arunachal Pradesh,soybean,30.79,32.05,33.49,7.21,500.39,23.02,0.525,2.474
Meghalaya,wheat,63.12,37.47,23.81,6.17,304.49,12.49,0.709,2.317
Nagaland,mango,93.23,20.86,98.23,5.93,673.45,22.01,0.607,8.612
Manipur,cotton,65.13,47.07,56.25,6.47,831.7,30.48,1.42,1.421
Mizoram,mango,72.48,54.47,84.85,6.61,1314.45,27.8,0.928,21.564
Odisha,millet,29.72,28.46,34.06,6.41,272.49,25.23,0.132,1.027
Karnataka,banana,160.61,92.61,391.12,6.61,1121.83,30.88,1.287,36.475
Uttar Pradesh,tea,40.01,34.94,48.35,4.95,3908.92,21.93,0.91,3.545
Chhattisgarh,banana,191.53,86.38,350.04,6.98,2239.99,20.23,1.197,23.294
